Team,Year,Win margin,Game number,Number of goals scored,Number of goals against,Number of shots on target,passes,corners,shots,possession,shot accuracy,oppnt_poss,oppnt_pass,oppnt_shot,oppnt_shot_ontarget,oppnt_shot accuracy,oppnt_corners,home_away
Man Utd,2015,0,1,0,0,1,525,1,7,0.591,0.142857143,0.409,336,16,6,0.375,6,0
Man Utd,2015,0,2,1,1,4,560,5,12,0.574,0.333333333,0.426,414,5,3,0.6,5,1
Man Utd,2015,1,3,2,1,4,682,6,13,0.625,0.307692308,0.375,267,13,4,0.307692308,7,0
Man Utd,2015,-1,4,0,1,9,928,9,26,0.797,0.346153846,0.203,185,6,3,0.5,3,1
Man Utd,2015,-3,5,0,3,4,795,7,17,0.651,0.235294118,0.349,307,9,7,0.777777778,7,0
Man Utd,2015,-1,6,0,1,2,664,7,15,0.704,0.133333333,0.296,283,7,2,0.285714286,3,0
Man Utd,2015,2,7,4,2,7,546,1,11,0.586,0.636363636,0.414,385,10,3,0.3,5,1
Man Utd,2015,2,8,3,1,7,736,10,20,0.764,0.35,0.236,234,5,2,0.4,2,1
Man Utd,2015,1,9,2,1,4,569,3,6,0.583,0.666666667,0.417,407,7,1,0.142857143,2,0
Man Utd,2015,3,10,3,0,3,508,4,11,0.516,0.272727273,0.484,476,5,1,0.2,2,1
Man Utd,2015,1,11,1,0,5,554,1,11,0.676,0.454545455,0.324,257,9,2,0.222222222,4,0
Man Utd,2015,2,12,2,0,10,625,13,30,0.734,0.333333333,0.266,235,5,3,0.6,1,1
Man Utd,2015,-1,13,1,2,3,585,10,18,0.64,0.166666667,0.36,333,11,6,0.545454545,4,0
Man Utd,2015,2,14,3,1,7,511,5,11,0.573,0.636363636,0.427,369,13,3,0.230769231,8,1
Man Utd,2015,0,15,1,1,6,647,9,18,0.588,0.333333333,0.412,285,13,6,0.461538462,9,0
Man Utd,2015,2,16,3,1,5,679,4,12,0.714,0.416666667,0.714,679,12,5,0.416666667,4,1
Man Utd,2015,2,17,2,0,7,595,3,12,0.617,0.583333333,0.383,358,18,4,0.222222222,3,0
Man Utd,2015,-1,18,0,1,0,568,3,10,0.605,0,0.395,372,9,1,0.111111111,5,1
Man Utd,2015,0,19,1,1,2,507,7,6,0.659,0.333333333,0.341,250,9,2,0.222222222,11,0
Man Utd,2015,0,20,0,0,5,397,6,9,0.516,0.555555556,0.484,374,9,4,0.444444444,3,0
Man Utd,2015,2,21,3,1,4,570,4,9,0.619,0.444444444,0.619,346,8,4,0.5,5,1
Man Utd,2015,0,22,1,1,9,588,9,16,0.647,0.5625,0.353,329,10,4,0.4,3,0
Man Utd,2015,3,23,3,0,6,514,2,11,0.547,0.545454545,0.453,416,19,9,0.473684211,7,1
Man Utd,2015,1,24,2,1,2,478,1,3,0.481,0.666666667,0.519,510,15,4,0.266666667,5,0
Man Utd,2015,1,25,2,1,3,631,3,10,0.64,0.3,0.36,351,5,4,0.8,2,1
Man Utd,2015,3,26,3,0,7,807,7,15,0.764,0.466666667,0.236,247,4,2,0.5,0,1
Man Utd,2015,1,27,2,1,2,317,5,12,0.386,0.166666667,0.614,490,23,9,0.391304348,11,0
Man Utd,2015,1,28,1,0,5,667,11,23,0.714,0.217391304,0.286,260,6,1,0.166666667,4,1
Man Utd,2015,-1,29,0,1,2,456,4,9,0.48,0.222222222,0.52,482,17,6,0.352941176,7,0
Man Utd,2015,0,30,1,1,7,439,4,19,0.517,0.368421053,0.483,425,9,4,0.444444444,7,1
Man Utd,2015,0,31,2,2,7,574,11,22,0.627,0.318181818,0.373,359,8,2,0.25,0,0
Man Utd,2015,1,32,2,1,6,475,6,10,0.487,0.6,0.513,475,10,6,0.6,6,1
Man Utd,2015,1,33,2,1,3,504,7,8,0.574,0.375,0.574,351,13,4,0.307692308,10,1
Man Utd,2015,-2,34,3,5,5,528,4,16,0.574,0.3125,0.426,389,15,5,0.333333333,2,0
Man Utd,2015,4,35,4,0,9,825,3,18,0.685,0.5,0.315,364,9,2,0.222222222,1,1
Man Utd,2015,0,36,0,0,2,553,6,7,0.64,0.285714286,0.36,313,9,3,0.333333333,3,0
Man Utd,2015,0,37,1,1,3,544,4,10,0.553,0.3,0.447,431,11,3,0.272727273,4,0
Man Utd,2015,-1,38,1,2,5,558,4,14,0.596,0.357142857,0.404,383,5,4,0.8,0,1
Man Utd,2016,2,1,3,1,5,677,7,12,0.663,0.416666667,0.337,342,7,0,0,1,1
Man Utd,2016,-1,2,2,3,2,473,2,3,0.587,0.666666667,0.413,324,20,6,0.3,6,0
Man Utd,2016,1,3,1,0,2,579,6,15,0.669,0.133333333,0.331,272,8,2,0.25,1,0
Man Utd,2016,0,4,1,1,6,592,6,21,0.705,0.285714286,0.295,248,14,3,0.214285714,5,1
Man Utd,2016,2,5,2,0,10,633,10,16,0.663,0.625,0.337,321,5,0,0,2,1
Man Utd,2016,1,6,1,0,4,581,14,13,0.662,0.307692308,0.338,294,7,1,0.142857143,3,1
Man Utd,2016,-3,7,0,3,1,442,7,5,0.53,0.2,0.47,395,16,8,0.5,2,0
Man Utd,2016,1,8,1,0,2,514,5,10,0.544,0.2,0.456,428,7,1,0.142857143,5,1
Man Utd,2016,1,9,1,0,4,398,5,5,0.455,0.8,0.455,398,5,4,0.8,5,0
Man Utd,2016,-1,10,0,1,1,503,5,7,0.534,0.142857143,0.466,439,9,2,0.222222222,5,0
Man Utd,2016,1,11,1,0,3,504,9,14,0.613,0.214285714,0.387,307,13,4,0.307692308,7,1
Man Utd,2016,1,12,3,2,5,349,2,7,0.392,0.714285714,0.608,541,13,5,0.384615385,3,1
Man Utd,2016,-1,13,1,2,5,501,8,12,0.663,0.416666667,0.337,251,21,5,0.238095238,6,0
Man Utd,2016,0,14,1,1,7,435,11,17,0.507,0.411764706,0.493,413,16,5,0.3125,10,0
Man Utd,2016,3,15,3,0,5,461,2,15,0.469,0.333333333,0.531,519,10,0,0,5,1
Man Utd,2016,-1,16,0,1,1,457,4,8,0.554,0.125,0.446,361,7,2,0.285714286,4,1
Man Utd,2016,1,17,1,0,1,431,4,7,0.467,0.142857143,0.533,491,19,4,0.210526316,5,0
Man Utd,2016,0,18,3,3,4,432,3,12,0.458,0.333333333,0.542,514,14,6,0.428571429,5,0
Man Utd,2016,1,19,2,1,6,515,4,19,0.547,0.315789474,0.453,430,9,4,0.444444444,2,1
Man Utd,2016,0,20,0,0,2,617,5,12,0.668,0.166666667,0.332,312,8,3,0.375,3,1
Man Utd,2016,-2,21,0,2,6,453,12,11,0.585,0.545454545,0.415,334,13,3,0.230769231,1,0
Man Utd,2016,-1,22,1,2,2,605,11,11,0.692,0.181818182,0.308,283,6,4,0.666666667,0,1
Man Utd,2016,-1,23,1,2,5,474,7,11,0.565,0.454545455,0.435,370,11,5,0.454545455,5,0
Man Utd,2016,0,24,0,0,1,496,6,21,0.626,0.047619048,0.374,302,9,2,0.222222222,2,1
Man Utd,2016,0,25,1,1,2,593,8,10,0.689,0.2,0.311,267,7,3,0.428571429,1,0
Man Utd,2016,1,26,2,1,6,499,10,13,0.564,0.461538462,0.436,385,10,5,0.5,4,0
Man Utd,2016,2,27,2,0,3,648,5,13,0.677,0.230769231,0.323,304,4,0,0,1,1
Man Utd,2016,0,28,0,0,1,456,3,5,0.554,0.2,0.446,355,10,5,0.5,7,0
Man Utd,2016,0,29,0,0,1,543,6,6,0.587,0.166666667,0.413,386,6,1,0.166666667,4,1
Man Utd,2016,3,30,3,0,7,524,3,10,0.528,0.7,0.472,458,12,3,0.25,5,0
Man Utd,2016,-3,31,0,3,5,632,6,9,0.622,0.555555556,0.378,389,12,5,0.416666667,3,0
Man Utd,2016,3,32,3,0,7,604,5,12,0.662,0.583333333,0.338,311,9,4,0.444444444,2,1
Man Utd,2016,1,33,3,2,3,575,5,10,0.592,0.3,0.408,382,15,8,0.533333333,5,0
Man Utd,2016,2,34,3,1,3,559,4,9,0.557,0.333333333,0.443,446,8,3,0.375,4,1
Man Utd,2016,-1,35,1,2,4,657,1,11,0.645,0.363636364,0.355,365,9,4,0.444444444,0,0
Man Utd,2016,0,36,0,0,8,637,11,20,0.693,0.4,0.307,280,7,0,0,5,1
Man Utd,2016,1,37,1,0,2,534,5,9,0.544,0.222222222,0.456,441,5,1,0.2,3,0
Man Utd,2016,1,38,1,0,1,487,1,9,0.5,0.111111111,0.5,487,9,4,0.444444444,2,1
Man Utd,2017,2,1,2,0,2,542,3,9,0.588,0.222222222,0.412,360,6,1,0.166666667,6,1
Man Utd,2017,0,2,0,0,1,450,3,11,0.472,0.090909091,0.528,484,17,6,0.352941176,7,0
Man Utd,2017,-1,3,1,2,2,356,3,8,0.4,0.25,0.6,530,14,7,0.5,8,0
Man Utd,2017,-2,4,0,2,4,530,9,10,0.5,0.4,0.5,752,9,4,0.444444444,5,0
Man Utd,2017,0,5,1,1,6,519,5,12,0.554,0.5,0.446,425,12,4,0.333333333,2,1
Man Utd,2017,0,6,0,0,1,288,4,3,0.308,0.333333333,0.692,643,19,6,0.315789474,7,0
Man Utd,2017,2,7,2,0,6,471,3,12,0.543,0.5,0.457,385,8,0,0,3,0
Man Utd,2017,2,8,2,0,3,416,1,9,0.462,0.333333333,0.538,479,5,0,0,3,1
Man Utd,2017,3,9,3,0,9,582,5,18,0.703,0.5,0.297,237,9,4,0.444444444,4,0
Man Utd,2017,0,10,1,1,3,576,6,18,0.616,0.166666667,0.384,370,11,4,0.363636364,5,1
Man Utd,2017,0,11,0,0,3,761,6,18,0.748,0.166666667,0.252,261,3,1,0.333333333,1,1
Man Utd,2017,2,12,3,1,6,326,3,14,0.361,0.428571429,0.639,555,10,3,0.3,8,0
Man Utd,2017,0,13,1,1,7,620,15,20,0.686,0.35,0.314,294,3,1,0.333333333,2,1
Man Utd,2017,2,14,2,0,11,587,5,22,0.579,0.5,0.421,426,9,3,0.333333333,1,1
Man Utd,2017,3,15,3,0,9,644,3,16,0.676,0.5625,0.324,292,11,1,0.090909091,10,0
Man Utd,2017,0,16,0,0,6,634,7,16,0.671,0.375,0.329,314,6,2,0.333333333,1,1
Man Utd,2017,0,17,1,1,8,591,7,25,0.651,0.32,0.349,331,6,1,0.166666667,1,0
Man Utd,2017,0,18,1,1,3,487,5,9,0.559,0.333333333,0.441,389,13,4,0.307692308,7,1
Man Utd,2017,2,19,2,0,6,713,1,13,0.638,0.461538462,0.362,396,8,2,0.25,2,0
Man Utd,2017,1,20,2,1,12,610,12,32,0.655,0.375,0.345,332,9,2,0.222222222,2,1
Man Utd,2017,2,21,3,1,9,607,5,26,0.622,0.346153846,0.378,365,9,4,0.444444444,5,1
Man Utd,2017,2,22,2,0,5,574,3,10,0.579,0.5,0.421,401,10,1,0.1,2,0
Man Utd,2017,1,23,2,1,6,625,8,16,0.609,0.375,0.391,400,6,3,0.5,1,0
Man Utd,2017,1,24,1,0,5,288,3,14,0.402,0.357142857,0.598,429,12,4,0.333333333,8,1
Man Utd,2017,0,25,1,1,2,464,3,10,0.545,0.2,0.455,380,13,6,0.461538462,6,0
Man Utd,2017,0,26,1,1,8,611,8,17,0.684,0.470588235,0.316,278,6,2,0.333333333,4,1
Man Utd,2017,0,27,1,1,5,444,10,12,0.455,0.416666667,0.545,552,5,1,0.2,4,1
Man Utd,2017,2,28,3,1,3,762,0,9,0.628,0.333333333,0.372,449,6,1,0.166666667,2,0
Man Utd,2017,0,29,0,0,11,646,19,38,0.722,0.289473684,0.278,244,7,1,0.142857143,1,1
Man Utd,2017,-4,30,0,4,5,556,7,16,0.561,0.3125,0.439,447,14,6,0.428571429,5,0
Man Utd,2017,0,31,0,0,1,342,1,7,0.354,0.142857143,0.646,627,9,3,0.333333333,3,0
Man Utd,2017,0,32,1,1,9,534,13,24,0.672,0.375,0.328,268,7,6,0.857142857,2,1
Man Utd,2017,3,33,4,1,7,712,8,16,0.673,0.4375,0.327,336,10,3,0.3,6,1
Man Utd,2017,-2,34,1,3,2,417,7,15,0.601,0.133333333,0.399,284,10,5,0.5,5,0
Man Utd,2017,-1,35,1,2,3,376,4,14,0.399,0.214285714,0.601,593,18,6,0.333333333,4,1
Man Utd,2017,1,36,1,0,9,615,6,29,0.621,0.310344828,0.379,394,8,2,0.25,1,0
Man Utd,2017,2,37,2,0,5,408,4,12,0.434,0.416666667,0.566,533,13,1,0.076923077,0,1
Man Utd,2017,2,38,3,1,7,561,2,11,0.526,0.636363636,0.474,483,9,3,0.333333333,4,0
Man Utd,2018,1,1,1,0,1,460,6,7,0.514,0.142857143,0.486,429,7,3,0.428571429,5,1
Man Utd,2018,0,2,0,0,6,601,6,16,0.558,0.375,0.442,476,9,2,0.222222222,1,0
Man Utd,2018,-1,3,0,1,3,675,6,16,0.683,0.1875,0.317,313,11,4,0.363636364,5,0
Man Utd,2018,1,4,2,1,3,609,9,16,0.592,0.1875,0.408,438,8,3,0.375,0,1
Man Utd,2018,2,5,2,0,4,556,5,13,0.556,0.307692308,0.444,428,13,2,0.153846154,8,0
Man Utd,2018,-1,6,0,1,4,742,4,14,0.703,0.285714286,0.297,312,10,4,0.4,4,1
Man Utd,2018,1,7,3,2,4,318,4,5,0.352,0.8,0.648,596,20,6,0.3,8,0
Man Utd,2018,2,8,2,0,5,746,3,11,0.665,0.454545455,0.335,366,3,2,0.666666667,3,1
Man Utd,2018,1,9,2,1,2,283,1,5,0.321,0.4,0.679,584,14,2,0.142857143,13,1
Man Utd,2018,1,10,3,2,8,654,7,17,0.695,0.470588235,0.305,278,10,4,0.4,3,0
Man Utd,2018,1,11,2,1,5,432,3,10,0.443,0.5,0.557,552,14,7,0.5,4,1
Man Utd,2018,-1,12,0,1,4,630,10,13,0.641,0.307692308,0.359,361,10,3,0.3,0,0
Man Utd,2018,2,13,2,0,7,786,5,16,0.743,0.4375,0.257,265,4,0,0,2,1
Man Utd,2018,-2,14,0,2,3,470,3,6,0.474,0.5,0.526,527,22,6,0.272727273,6,0
Man Utd,2018,1,15,1,0,2,461,4,12,0.518,0.166666667,0.482,423,14,3,0.214285714,5,0
Man Utd,2018,3,16,3,0,9,604,6,20,0.603,0.45,0.397,395,11,5,0.454545455,1,1
Man Utd,2018,2,17,2,0,6,585,6,21,0.602,0.285714286,0.398,365,12,0,0,6,0
Man Utd,2018,0,18,0,0,3,500,10,15,0.545,0.2,0.455,423,8,3,0.375,7,1
Man Utd,2018,0,19,2,2,6,638,12,24,0.713,0.25,0.287,270,3,2,0.666666667,2,1
Man Utd,2018,0,20,2,2,6,448,6,19,0.503,0.315789474,0.497,448,11,3,0.272727273,4,0
Man Utd,2018,1,21,2,1,3,588,3,8,0.569,0.375,0.431,433,12,5,0.416666667,6,0
Man Utd,2018,1,22,1,0,2,570,4,9,0.564,0.222222222,0.436,427,14,7,0.5,9,1
Man Utd,2018,-1,23,1,2,5,329,2,8,0.354,0.625,0.646,606,14,7,0.5,8,1
Man Utd,2018,2,24,3,1,4,222,1,8,0.249,0.5,0.751,656,33,16,0.484848485,12,0
Man Utd,2018,2,25,4,2,7,346,5,15,0.406,0.466666667,0.594,496,12,3,0.25,5,0
Man Utd,2018,1,26,1,0,4,565,5,15,0.583,0.266666667,0.417,404,8,2,0.25,0,1
Man Utd,2018,3,27,4,1,7,620,11,16,0.647,0.4375,0.353,344,12,5,0.416666667,4,1
Man Utd,2018,-1,28,0,1,2,396,7,10,0.46,0.2,0.54,471,8,18,2.25,4,0
Man Utd,2018,1,29,1,0,3,405,6,11,0.448,0.272727273,0.552,509,4,13,3.25,3,1
Man Utd,2018,-1,30,1,2,3,741,7,9,0.779,0.333333333,0.221,210,5,3,0.6,4,0
Man Utd,2018,0,31,0,0,1,354,3,6,0.378,0.166666667,0.622,580,19,5,0.263157895,7,0
Man Utd,2018,4,32,4,0,7,566,6,18,0.593,0.388888889,0.407,377,6,1,0.166666667,5,1
Man Utd,2018,1,33,1,0,4,368,4,9,0.394,0.444444444,0.606,544,14,4,0.285714286,8,0
Man Utd,2018,4,34,4,0,7,476,4,16,0.492,0.4375,0.508,510,7,3,0.428571429,1,1
Man Utd,2018,0,35,2,2,8,564,11,18,0.632,0.444444444,0.368,332,10,5,0.5,5,0
Man Utd,2018,2,36,2,0,7,662,9,22,0.691,0.318181818,0.309,300,11,4,0.363636364,3,1
Man Utd,2018,4,37,4,0,8,601,5,17,0.59,0.470588235,0.41,406,5,0,0,3,0
Man Utd,2018,4,38,4,0,5,493,11,21,0.554,0.238095238,0.446,397,9,1,0.111111111,1,1
